start_time,end_time,work_time,pay_rate,money_made,asset
2020-07-24 00:00:01,2020-07-24 00:00:01,0.0,11.137044584764624,0.0,5673.25
2020-07-24 14:38:48,2020-07-24 17:03:29,2.4113388200600943,11.145094396507114,26.874598771531833,5700.124598771532
2020-07-24 22:55:13,2020-07-25 03:07:53,4.21122345023685,11.15916674869786,46.993744697219725,5747.118343468753
2020-07-25 09:00:00,2020-07-25 12:00:00,3.0,11.193498316720989,33.58049495016296,5861.797308815885
2020-07-25 19:43:02,2020-07-26 02:58:08,7.251656457450656,11.183440759062304,81.09847039697101,5828.216813865722
2020-07-26 14:17:38,2020-07-26 17:20:56,3.0550785099797784,11.193683053014867,34.19758054279056,5862.414394408514
2020-07-26 18:58:38,2020-07-26 21:23:31,2.41457754943106,11.201784673637675,27.04757778652646,5889.46197219504
2020-07-26 22:38:42,2020-07-26 23:37:49,0.9852746994627848,11.20509224545153,11.040093894590036,5900.5020660896325
2020-07-27 13:45:25,2020-07-27 22:48:36,9.053037470314237,11.235529085013974,101.71566580543691,6002.217731895071
2020-07-27 23:39:58,2020-07-27 23:57:49,0.29749279611640506,11.236530674969423,3.34278692914441,6005.5605188242125
2020-07-27 23:59:00,2020-07-28 00:15:00,0.26666666666666666,11.237428556311054,2.996647615016281,6008.55716643923
2020-07-28 12:00:00,2020-07-28 14:30:00,2.5,11.245849683941023,28.114624209852558,6036.671790649083
2020-07-28 15:25:59,2020-07-28 15:51:43,0.4289860702885522,11.247295336732387,4.8249330278795854,6041.496723676963
2020-07-28 17:00:00,2020-07-28 17:40:00,0.6666666666666666,11.24954232518222,7.499694883454813,6048.996418560418
2020-07-29 13:22:57,2020-07-29 14:29:06,1.102572693294949,11.253259512529995,12.407536649077205,6061.403955209495
2020-07-29 15:44:08,2020-07-29 23:12:45,7.476888355281617,11.278499343075815,84.32808040329495,6145.732035612789
2020-08-01 11:58:49,2020-08-01 16:08:26,4.1602431999974785,11.292567635232912,46.97982771498935,6192.71186332778
2020-10-03 16:37:41,2020-10-03 16:37:47,0.0015885321961508856,11.292573010368788,0.017938615804355348,6192.729801943584
2020-10-03 16:40:40,2020-10-03 19:39:53,2.987095862229665,11.302685010401778,33.76220362665641,6226.4920055702405
2020-10-03 23:30:00,2020-10-04 03:30:00,4.0,11.316240104231946,45.264960416927785,6271.756965987168
2020-10-04 16:33:19,2020-10-04 16:42:02,0.1453172778420978,11.316732857467265,1.644516812913368,6273.401482800081
2020-10-04 16:42:04,2020-10-04 18:38:02,1.9329229411151685,11.323289205514321,21.88704547422036,6295.288528274301
2020-10-04 21:25:29,2020-10-04 22:30:44,1.0877113558186424,11.32698032121886,12.320485122524047,6307.609013396825
2020-10-05 08:33:37,2020-10-05 09:22:31,0.8149028591314952,11.329746457881887,9.23264278176288,6316.841656178586
2020-10-06 12:00:00,2020-10-06 15:00:00,3.0,11.339935592041344,34.01980677612403,6350.861462954711
2020-10-07 19:46:08,2020-10-07 22:22:14,2.6016637341843722,11.348779244434727,29.525707387510128,6380.38717034222
2020-10-07 23:37:56,2020-10-07 23:59:24,0.3578611503044764,11.349996236112599,4.061722709006732,6384.448893051227
2020-10-08 10:30:31,2020-10-08 11:22:51,0.8724027546909119,11.35296359539167,9.904356714525333,6394.353249765753
2020-10-27 17:08:17,2020-10-27 17:08:36,0.005343921648131476,11.352981774404519,0.060669445075082415,6394.413919210829
2020-10-27 19:52:36,2020-10-27 19:59:31,0.11521944827503627,11.35337373630126,1.3081294579569187,6395.722048668786
2020-10-27 19:59:35,2020-10-27 19:59:35,0.0001702880859375,11.353374315609667,0.0019333443811371442,6395.723982013166
2020-10-27 19:59:36,2020-10-27 22:30:13,2.5103292513555955,11.3619174967083,28.52215384347578,6424.246135856642
2020-10-28 20:00:00,2020-10-28 22:00:00,2.0,11.368731502730073,22.737463005460157,6446.993546104329
2020-10-29 07:48:00,2020-10-29 07:48:04,0.0008754895130793254,11.361920477305286,0.009947242226322022,6424.256083098869
2020-10-29 07:51:30,2020-10-29 08:24:37,0.5518270958132214,11.363799323779713,6.270852378245609,6430.526935477114
